
 STRATEGY REPORT:
Total positive trades: 67 (12934.250000 points); Total negative trades: 56 (-8443.830000 points);
 Net loss/profit: 4490.420000

 Trade no: 107; Direction: short; Entry date: 09/01/2023 10:00:00 CET; Entry closing price: 14638.340000; Exit date: 11/01/2023 11:00:00 CET; Exit closing price: 14913.350000; Loss/profit: -275.010000; Current p&l: 3720.490000
 Trade no: 108; Direction: short; Entry date: 27/01/2023 12:00:00 CET; Entry closing price: 15156.050000; Exit date: 30/01/2023 13:00:00 CET; Exit closing price: 15073.730000; Loss/profit: 82.320000; Current p&l: 3802.810000
 Trade no: 109; Direction: short; Entry date: 09/02/2023 12:00:00 CET; Entry closing price: 15615.300000; Exit date: 10/02/2023 13:00:00 CET; Exit closing price: 15256.010000; Loss/profit: 359.290000; Current p&l: 4162.100000
 Trade no: 110; Direction: short; Entry date: 07/03/2023 12:00:00 CET; Entry closing price: 15670.460000; Exit date: 09/03/2023 13:00:00 CET; Exit closing price: 15567.960000; Loss/profit: 102.500000; Current p&l: 4264.600000
 Trade no: 111; Direction: long; Entry date: 13/03/2023 11:00:00 CET; Entry closing price: 15089.140000; Exit date: 15/03/2023 12:00:00 CET; Exit closing price: 14824.500000; Loss/profit: -264.640000; Current p&l: 3999.960000
 Trade no: 112; Direction: short; Entry date: 31/03/2023 17:00:00 CEST; Entry closing price: 15628.840000; Exit date: 05/04/2023 09:00:00 CEST; Exit closing price: 15575.770000; Loss/profit: 53.070000; Current p&l: 4053.030000
 Trade no: 113; Direction: short; Entry date: 12/04/2023 15:00:00 CEST; Entry closing price: 15703.580000; Exit date: 14/04/2023 16:00:00 CEST; Exit closing price: 15805.010000; Loss/profit: -101.430000; Current p&l: 3951.600000
 Trade no: 114; Direction: short; Entry date: 18/04/2023 15:00:00 CEST; Entry closing price: 15885.650000; Exit date: 20/04/2023 11:00:00 CEST; Exit closing price: 15780.050000; Loss/profit: 105.600000; Current p&l: 4057.200000
 Trade no: 115; Direction: short; Entry date: 14/06/2023 13:00:00 CEST; Entry closing price: 16311.860000; Exit date: 16/06/2023 14:00:00 CEST; Exit closing price: 16422.920000; Loss/profit: -111.060000; Current p&l: 3946.140000
 Trade no: 116; Direction: short; Entry date: 16/06/2023 15:00:00 CEST; Entry closing price: 16361.100000; Exit date: 20/06/2023 11:00:00 CEST; Exit closing price: 16106.420000; Loss/profit: 254.680000; Current p&l: 4200.820000
 Trade no: 117; Direction: long; Entry date: 22/06/2023 10:00:00 CEST; Entry closing price: 15920.860000; Exit date: 26/06/2023 11:00:00 CEST; Exit closing price: 15795.580000; Loss/profit: -125.280000; Current p&l: 4056.080000
 Trade no: 118; Direction: long; Entry date: 23/06/2023 15:00:00 CEST; Entry closing price: 15815.040000; Exit date: 27/06/2023 16:00:00 CEST; Exit closing price: 15844.030000; Loss/profit: 28.990000; Current p&l: 4104.530000
